persona_id,persona_name,generated_at,synthetic,Do you consent to voluntarily participate in this anonymous study?,"During the past 12 months, have you worked in marketing or promotional activities?",In which country do you carry out most of your marketing or promotional work?,Which option best describes your work?,How long have you worked in marketing or promotion?,How many people work in the organisation for which you perform most of your marketing activities?,"During the past 12 months, have you used AI in marketing or promotional work?",How often do you use AI in marketing or promotional work?,Which types of AI tools do you use?,For which marketing tasks do you use AI? [Audience and market analysis],"For which marketing tasks do you use AI? [Strategy, goals, and KPI planning]","For which marketing tasks do you use AI? [Segmentation, personas, and personalisation]",For which marketing tasks do you use AI? [Writing promotional content],For which marketing tasks do you use AI? [Creating or editing images and video],For which marketing tasks do you use AI? [Running or optimising advertising campaigns],"For which marketing tasks do you use AI? [Audience communication, customer service, and chatbots]",For which marketing tasks do you use AI? [Results analysis and reporting],To what extent do you agree with the following statements? [AI helps me complete marketing tasks faster],To what extent do you agree with the following statements? [AI helps me tailor communication to audiences],To what extent do you agree with the following statements? [AI helps me create more ideas and content],To what extent do you agree with the following statements? [AI makes data analysis and decision-making easier],To what extent do you agree with the following statements? [AI improves the quality of prepared materials],How significant are the following barriers for you? [Incorrect or fabricated AI outputs],How significant are the following barriers for you? [Data protection and confidentiality],How significant are the following barriers for you? [Copyright and legal compliance],How significant are the following barriers for you? [Content that does not match the brand’s style or quality],How significant are the following barriers for you? [Biased or discriminatory outputs],How significant are the following barriers for you? [Lack of skills or clear procedures],How significant are the following barriers for you? [Costs or difficulties with implementation and integration],What do you or your organisation do to reduce risks related to AI?,Have you taken part in training on the use of AI in marketing or communication?,"If you wish, briefly describe one benefit, one problem, or one condition for the responsible use of AI in marketing."
P053,Francesca Romano,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Italy,I work at a marketing or advertising agency,1–3 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",In most tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,In some tasks,Strongly agree,Strongly agree,Agree,Agree,Agree,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, Materials are approved by a supervisor or client, We use training or internal AI guidelines, We disclose the use of AI when required",Yes,
P054,Jamie Scott,2026-09-24T22:20:10+00:00,yes,Yes,Yes,United Kingdom,I run my own business and manage its marketing,More than 10 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,In most tasks,In some tasks,I do not perform this type of task,Strongly agree,Agree,Strongly agree,Strongly agree,Difficult to say,Moderate barrier,Not a barrier,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We do not use formal practices","No, and I do not plan to",
P055,Marko Mitrović,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Serbia,Other marketing-related role (please specify),4–6 years,250 people or more,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",In most tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,In some tasks,Never,Agree,Agree,Agree,Strongly agree,Agree,Moderate barrier,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Not a barrier,"Content is reviewed by a person, We check facts and sources, We use training or internal AI guidelines",Yes,
P056,Meera Rao,2026-09-24T22:20:10+00:00,yes,Yes,Yes,United Kingdom,I work in an in-house marketing team,4–6 years,2–9 people,No,,,,,,,,,,,,,,,,Very major barrier,Major barrier,Moderate barrier,Moderate barrier,Minor barrier,Very major barrier,Moderate barrier,I do not use AI / not applicable — select only this answer,"No, but I plan to",
P058,Roman Marchenko,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Ukraine,I work in an in-house marketing team,4–6 years,10–49 people,Yes,Several times a month,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In a few tasks,Never,I do not perform this type of task,Never,I do not perform this type of task,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Moderate barrier,Moderate barrier,Major barrier,Major barrier,Minor barrier,Major barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources","No, and I do not plan to",
P059,Andreas Müller,2026-09-24T22:20:10+00:00,yes,Yes,Yes,austria,I run my own business and manage its marketing,7–10 years,10–49 people,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,In a few tasks,In some tasks,Never,In a few tasks,In a few tasks,I do not perform this type of task,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Major barrier,Very major barrier,Moderate barrier,Moderate barrier,Minor barrier,Difficult to say,Major barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources","No, and I do not plan to",
P060,Sara Rinaldi,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Italy,I work in an in-house marketing team,1–3 years,2–9 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Analytics, prediction, or audience segmentation",In some tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In a few tasks,Almost always,I do not perform this type of task,In most tasks,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Not a barrier,Moderate barrier,Difficult to say,Minor barrier,Minor barrier,Not a barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We use training or internal AI guidelines, We disclose the use of AI when required",Yes,
P061,Seán Brennan,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Ireland,I work in an in-house marketing team,More than 10 years,50–249 people,No,,,,,,,,,,,,,,,,Very major barrier,Very major barrier,Very major barrier,Very major barrier,Moderate barrier,Very major barrier,Major barrier,I do not use AI / not applicable — select only this answer,"No, and I do not plan to","I don't use AI, I don't trust it for client work. Also everything starts to sound the same, that generic AI tone."
P064,Michael Köhler,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Germany,Other marketing-related role (please specify),7–10 years,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Analytics, prediction, or audience segmentation",In some tasks,I do not perform this type of task,Never,I do not perform this type of task,I do not perform this type of task,In some tasks,In some tasks,In some tasks,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Minor barrier,Major barrier,Major barrier,Minor barrier,Not a barrier,Minor barrier,Not a barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client","No, but I plan to",
P065,Petra Fischer,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Germany,I work as a freelancer,7–10 years,I work independently / one-person business,No,,,,,,,,,,,,,,,,Major barrier,Major barrier,Major barrier,Moderate barrier,Moderate barrier,Very major barrier,Very major barrier,I do not use AI / not applicable — select only this answer,"No, and I do not plan to",
P066,Olivier Durand,2026-09-24T22:20:10+00:00,yes,Yes,Yes,France,I work as a freelancer,7–10 years,I work independently / one-person business,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",I do not perform this type of task,In some tasks,I do not perform this type of task,In some tasks,In a few tasks,In a few tasks,Almost always,In a few tasks,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Not a barrier,Minor barrier,Major barrier,Moderate barrier,Not a barrier,Minor barrier,Minor barrier,"We do not enter confidential or personal data into AI tools, We do not use formal practices","No, and I do not plan to",
P067,Thomas Aerts,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Belgium,I work in an in-house marketing team,Less than 1 year,10–49 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), Analytics, prediction, or audience segmentation",I do not perform this type of task,In most tasks,I do not perform this type of task,Almost always,I do not perform this type of task,In some tasks,In most tasks,In most tasks,Agree,Strongly agree,Agree,Agree,Agree,Minor barrier,Moderate barrier,Difficult to say,Moderate barrier,Not a barrier,Minor barrier,Not a barrier,Content is reviewed by a person,"No, but I plan to",Saves time on campaign planning.
P068,Christos Nikolaou,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Greece,I work in an in-house marketing team,7–10 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems, Chatbots or customer service",Almost always,I do not perform this type of task,I do not perform this type of task,Almost always,In some tasks,I do not perform this type of task,Almost always,In most tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We use training or internal AI guidelines","No, but I plan to",
P069,Daniel Navarro,2026-09-24T22:20:10+00:00,yes,Yes,Yes,spain,I work at a marketing or advertising agency,4–6 years,2–9 people,No,,,,,,,,,,,,,,,,Major barrier,Major barrier,Major barrier,Major barrier,Major barrier,Major barrier,Difficult to say,I do not use AI / not applicable — select only this answer,"No, and I do not plan to","I don't use AI, no time to learn it yet. also people paste client data into it without thinking."
P070,Ivan Tomić,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Croatia,I work at a marketing or advertising agency,1–3 years,250 people or more,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",Almost always,In most tasks,In some tasks,Almost always,In some tasks,In some tasks,Almost always,In most tasks,Agree,Agree,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, Materials are approved by a supervisor or client, We use training or internal AI guidelines",Yes,
P071,Katja Kralj,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Slovenia,I work in an in-house marketing team,1–3 years,250 people or more,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Analytics, prediction, or audience segmentation",I do not perform this type of task,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,In a few tasks,I do not perform this type of task,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Difficult to say,Very major barrier,Very major barrier,Moderate barrier,Minor barrier,Major barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We use training or internal AI guidelines","No, and I do not plan to",
P072,Seraina Meyer,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Switzerland,I work in an in-house marketing team,Less than 1 year,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems, Analytics, prediction, or audience segmentation",In most tasks,In some tasks,In some tasks,Almost always,In most tasks,In most tasks,I do not perform this type of task,In most tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Moderate barrier,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client, We disclose the use of AI when required","No, but I plan to",
P073,Joris Verstraeten,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Belgium,I work as a freelancer,More than 10 years,I work independently / one-person business,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Agree,Difficult to say,Agree,Disagree,Neither agree nor disagree,Major barrier,Major barrier,Moderate barrier,Moderate barrier,Difficult to say,Minor barrier,Difficult to say,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, Materials are approved by a supervisor or client, We do not use formal practices","No, and I do not plan to",
P074,Viktoriia Rudenko,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Ukraine,I work in an in-house marketing team,More than 10 years,2–9 people,Yes,Less than once a month,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",Never,I do not perform this type of task,Never,In some tasks,In some tasks,In a few tasks,Never,Never,Disagree,Disagree,Agree,Difficult to say,Neither agree nor disagree,Very major barrier,Major barrier,Very major barrier,Very major barrier,Moderate barrier,Moderate barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We disclose the use of AI when required","No, and I do not plan to",My main issue is that nobody really knows who owns the generated images.
P075,Petra Kráľová,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Slovakia,Other marketing-related role (please specify),More than 10 years,250 people or more,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,In most tasks,In some tasks,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Minor barrier,"We do not enter confidential or personal data into AI tools, We check facts and sources, Materials are approved by a supervisor or client, We use training or internal AI guidelines, We disclose the use of AI when required",Yes,
P076,Elisabeth Mayer,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Austria,I work in an in-house marketing team,7–10 years,10–49 people,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",In a few tasks,In some tasks,In a few tasks,In most tasks,In some tasks,In some tasks,I do not perform this type of task,In a few tasks,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Not a barrier,Minor barrier,Major barrier,"We do not enter confidential or personal data into AI tools, We use training or internal AI guidelines","No, and I do not plan to",My main issue is that the subscriptions keep getting more expensive.
P077,Laura Mariani,2026-09-24T22:20:10+00:00,yes,Yes,Yes,France,I work in an in-house marketing team,7–10 years,250 people or more,Yes,Once a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",In some tasks,In a few tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,Strongly agree,Agree,Agree,Agree,Agree,Major barrier,Minor barrier,Minor barrier,Major barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, We use training or internal AI guidelines, We disclose the use of AI when required",Yes,
P078,Wouter Hendriks,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Netherlands,I work as a freelancer,7–10 years,Difficult to say / not applicable,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems, Analytics, prediction, or audience segmentation",I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,In most tasks,Agree,Agree,Agree,Agree,Agree,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, Materials are approved by a supervisor or client, We do not use formal practices","No, but I plan to",
P080,Maximilian Lehmann,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Germany,I work as a freelancer,More than 10 years,I work independently / one-person business,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Difficult to say,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,Content is reviewed by a person,"No, and I do not plan to",
P081,Charlotte Smith,2026-09-24T22:20:10+00:00,yes,Yes,Yes,United Kingdom,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,I do not perform this type of task,In a few tasks,Almost always,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,Strongly agree,Agree,Strongly agree,Agree,Agree,Minor barrier,Major barrier,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Difficult to say,"Content is reviewed by a person, We check facts and sources, We do not use formal practices","No, and I do not plan to",People paste client data into it without thinking. Everything has to be checked before it goes out.
P082,Iva Blažević,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Croatia,I work as a freelancer,More than 10 years,I work independently / one-person business,No,,,,,,,,,,,,,,,,Major barrier,Moderate barrier,Very major barrier,Major barrier,Minor barrier,Very major barrier,Moderate barrier,I do not use AI / not applicable — select only this answer,"No, but I plan to",
P083,Katrien Claes,2026-09-24T22:20:10+00:00,yes,Yes,Yes,belgium,I work at a marketing or advertising agency,1–3 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In a few tasks,Almost always,Strongly agree,Agree,Agree,Strongly agree,Agree,Not a barrier,Difficult to say,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, Materials are approved by a supervisor or client, We use training or internal AI guidelines, We disclose the use of AI when required",Yes,"faster first drafts for reports, i still rewrite most of it."
P084,Dan Stoica,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Romania,I work at a marketing or advertising agency,More than 10 years,250 people or more,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",In most tasks,In most tasks,In a few tasks,Almost always,Never,In most tasks,I do not perform this type of task,I do not perform this type of task,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Minor barrier,Major barrier,Moderate barrier,Moderate barrier,Not a barrier,Minor barrier,Difficult to say,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We use training or internal AI guidelines",Yes,
P086,Teodora Vasileva,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Bulgaria,I work in an in-house marketing team,More than 10 years,2–9 people,No,,,,,,,,,,,,,,,,Very major barrier,Major barrier,Very major barrier,Major barrier,Moderate barrier,Very major barrier,Major barrier,I do not use AI / not applicable — select only this answer,"No, but I plan to",
P087,Frida Sandberg,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Sweden,I work at a marketing or advertising agency,More than 10 years,250 people or more,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In a few tasks,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,In some tasks,In some tasks,In a few tasks,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Major barrier,Minor barrier,Not a barrier,Major barrier,Difficult to say,Minor barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We use training or internal AI guidelines","No, but I plan to",
P088,Silvia Martín,2026-09-24T22:20:10+00:00,yes,Yes,Yes,France,I work at a marketing or advertising agency,More than 10 years,50–249 people,No,,,,,,,,,,,,,,,,Very major barrier,Major barrier,Moderate barrier,Moderate barrier,Moderate barrier,Major barrier,Moderate barrier,I do not use AI / not applicable — select only this answer,"No, and I do not plan to",
P089,Judit Mészáros,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Hungary,Other marketing-related role (please specify),More than 10 years,Difficult to say / not applicable,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,In a few tasks,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Moderate barrier,Minor barrier,"We check facts and sources, Materials are approved by a supervisor or client, We disclose the use of AI when required","No, and I do not plan to",
P090,Petra Černá,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Czech Republic,I work in an in-house marketing team,4–6 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",In some tasks,I do not perform this type of task,I do not perform this type of task,Almost always,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Difficult to say,Strongly agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources","No, but I plan to",
P091,Bianca Ionescu,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Romania,I run my own business and manage its marketing,More than 10 years,2–9 people,Yes,Several times a month,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,Never,I do not perform this type of task,In most tasks,In a few tasks,I do not perform this type of task,In a few tasks,I do not perform this type of task,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Major barrier,Major barrier,Major barrier,Major barrier,Moderate barrier,Major barrier,Very major barrier,"Content is reviewed by a person, We check facts and sources, We do not use formal practices","No, and I do not plan to",
P092,Riikka Korhonen,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Finland,I work in an in-house marketing team,More than 10 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In a few tasks,In some tasks,In some tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,Almost always,In most tasks,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Not a barrier,Major barrier,Minor barrier,Minor barrier,Difficult to say,Not a barrier,Difficult to say,"We do not enter confidential or personal data into AI tools, We use training or internal AI guidelines",Yes,
P093,Lukas Schwarz,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Germany,I work in an in-house marketing team,More than 10 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI), AI in advertising or marketing automation systems",In most tasks,Almost always,In some tasks,I do not perform this type of task,Almost always,In some tasks,I do not perform this type of task,Almost always,Agree,Agree,Difficult to say,Neither agree nor disagree,Neither agree nor disagree,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, We use training or internal AI guidelines","No, and I do not plan to","More ideas in less time, especially when many versions of ad campaigns are needed. People paste client data into it without thinking. Everything has to be checked before it goes out"
P094,Dimitris Papadakis,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Greece,I run my own business and manage its marketing,More than 10 years,10–49 people,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",Almost always,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,We do not use formal practices,Yes,
P095,Laura Turunen,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Finland,I work in an in-house marketing team,More than 10 years,2–9 people,No,,,,,,,,,,,,,,,,Major barrier,Major barrier,Major barrier,Major barrier,Moderate barrier,Very major barrier,Major barrier,I do not use AI / not applicable — select only this answer,"No, and I do not plan to","I don't use AI, I prefer to write everything myself. Also the subscriptions keep getting more expensive."
P096,Jakub Kollár,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Slovakia,I work as a freelancer,More than 10 years,I work independently / one-person business,Yes,Several times a week,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), AI in advertising or marketing automation systems",In most tasks,In a few tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,In a few tasks,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Minor barrier,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, Materials are approved by a supervisor or client, We disclose the use of AI when required","No, but I plan to",
P097,Louise Mortensen,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Denmark,I run my own business and manage its marketing,4–6 years,2–9 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot)",Almost always,In some tasks,In a few tasks,Almost always,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Difficult to say,Strongly agree,Not a barrier,Not a barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Moderate barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools","No, but I plan to","Faster first drafts for posts and ad copy, I stll rewrite most of it."
P098,Inès Simon,2026-09-24T22:20:10+00:00,yes,Yes,Yes,France,I work in an in-house marketing team,More than 10 years,250 people or more,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",I do not perform this type of task,Almost always,I do not perform this type of task,Almost always,In some tasks,I do not perform this type of task,In some tasks,In most tasks,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,"Content is reviewed by a person, We do not enter confidential or personal data into AI tools, We check facts and sources, Materials are approved by a supervisor or client, We use training or internal AI guidelines, We disclose the use of AI when required",Yes,
P099,Kristina Nikolova,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Bulgaria,I work in an in-house marketing team,7–10 years,50–249 people,Yes,Every day,"Text generation (e.g. ChatGPT, Gemini, Claude, Copilot), Image or video creation (e.g. Midjourney, DALL·E, Canva AI)",In a few tasks,In most tasks,In a few tasks,In most tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Agree,Agree,Strongly agree,Agree,Strongly agree,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,"Content is reviewed by a person, We use training or internal AI guidelines",Yes,"Faster first drafts for posts and ad copy, I still rewrite most of it."
P100,Sinéad Keane,2026-09-24T22:20:10+00:00,yes,Yes,Yes,Ireland,I work in an in-house marketing team,More than 10 years,50–249 people,No,,,,,,,,,,,,,,,,Moderate barrier,Very major barrier,Moderate barrier,Very major barrier,Minor barrier,Major barrier,Major barrier,I do not use AI / not applicable — select only this answer,"No, and I do not plan to","I don't use AI, no time to learn it yet. Also people paste client data into it without thinking."
