respondent_id,language,submitted_at,synthetic,status,P1,P2,P3,P3_country,P4,P4_other,P5,P6,P7,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_other,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P11_4,P11_5,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P13_conflict,P14,P15
P070,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Croatia,Croatia,I work at a marketing or advertising agency,,1–3 years,250 people or more,Yes,Every day,1,1,0,0,0,,Almost always,In most tasks,In some tasks,Almost always,In some tasks,In some tasks,Almost always,In most tasks,Agree,Agree,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,1,1,0,1,1,0,0,0,0,Yes,
P071,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Slovenia,Slovenia,I work in an in-house marketing team,,1–3 years,250 people or more,Yes,Every day,1,0,0,1,0,,I do not perform this type of task,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,In a few tasks,I do not perform this type of task,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Difficult to say,Very major barrier,Very major barrier,Moderate barrier,Minor barrier,Major barrier,Moderate barrier,1,1,1,0,1,0,0,0,0,"No, and I do not plan to",
P072,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Switzerland,Switzerland,I work in an in-house marketing team,,Less than 1 year,2–9 people,Yes,Every day,1,1,1,1,0,,In most tasks,In some tasks,In some tasks,Almost always,In most tasks,In most tasks,I do not perform this type of task,In most tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Moderate barrier,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,1,0,0,1,0,1,0,0,0,"No, but I plan to",
P073,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Belgium,Belgium,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Agree,Difficult to say,Agree,Disagree,Neither agree nor disagree,Major barrier,Major barrier,Moderate barrier,Moderate barrier,Difficult to say,Minor barrier,Difficult to say,1,1,0,1,0,0,1,0,0,"No, and I do not plan to",
P074,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Ukraine,Ukraine,I work in an in-house marketing team,,More than 10 years,2–9 people,Yes,Less than once a month,1,1,0,0,0,,Never,I do not perform this type of task,Never,In some tasks,In some tasks,In a few tasks,Never,Never,Disagree,Disagree,Agree,Difficult to say,Neither agree nor disagree,Very major barrier,Major barrier,Very major barrier,Very major barrier,Moderate barrier,Moderate barrier,Moderate barrier,1,1,1,0,0,1,0,0,0,"No, and I do not plan to",My main issue is that nobody really knows who owns the generated images.
P075,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Slovakia,Slovakia,Other,"sales, with a lot of marketing on the side",More than 10 years,250 people or more,Yes,Every day,1,0,1,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,In most tasks,In some tasks,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Minor barrier,0,1,1,1,1,1,0,0,0,Yes,
P076,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Austria,Austria,I work in an in-house marketing team,,7–10 years,10–49 people,Yes,Once a week,1,1,1,0,0,,In a few tasks,In some tasks,In a few tasks,In most tasks,In some tasks,In some tasks,I do not perform this type of task,In a few tasks,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Not a barrier,Minor barrier,Major barrier,0,1,0,0,1,0,0,0,0,"No, and I do not plan to",My main issue is that the subscriptions keep getting more expensive.
P077,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,France,France,I work in an in-house marketing team,,7–10 years,250 people or more,Yes,Once a week,1,0,0,0,0,,In some tasks,In a few tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,Strongly agree,Agree,Agree,Agree,Agree,Major barrier,Minor barrier,Minor barrier,Major barrier,Not a barrier,Minor barrier,Minor barrier,1,0,0,0,1,1,0,0,0,Yes,
P078,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Netherlands,Netherlands,I work as a freelancer,,7–10 years,Difficult to say / not applicable,Yes,Several times a week,1,0,1,1,0,,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,In most tasks,Agree,Agree,Agree,Agree,Agree,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,1,0,0,1,0,0,1,0,0,"No, but I plan to",
P080,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Germany,Germany,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Difficult to say,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,1,0,0,0,0,0,0,0,0,"No, and I do not plan to",
P081,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,United Kingdom,United Kingdom,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Several times a week,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,In a few tasks,Almost always,I do not perform this type of task,I do not perform this type of task,In some tasks,I do not perform this type of task,Strongly agree,Agree,Strongly agree,Agree,Agree,Minor barrier,Major barrier,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Difficult to say,1,0,1,0,0,0,1,0,0,"No, and I do not plan to",People paste client data into it without thinking. Everything has to be checked before it goes out.
P082,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Croatia,Croatia,I work as a freelancer,,More than 10 years,I work independently / one-person business,No,,,,,,,,,,,,,,,,,,,,,Major barrier,Moderate barrier,Very major barrier,Major barrier,Minor barrier,Very major barrier,Moderate barrier,0,0,0,0,0,0,0,1,0,"No, but I plan to",
P083,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,belgium,Belgium,I work at a marketing or advertising agency,,1–3 years,Difficult to say / not applicable,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,In some tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In a few tasks,Almost always,Strongly agree,Agree,Agree,Strongly agree,Agree,Not a barrier,Difficult to say,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,1,1,0,1,1,1,0,0,0,Yes,"faster first drafts for reports, i still rewrite most of it."
P084,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Romania,Romania,I work at a marketing or advertising agency,,More than 10 years,250 people or more,Yes,Every day,1,0,0,0,0,,In most tasks,In most tasks,In a few tasks,Almost always,Never,In most tasks,I do not perform this type of task,I do not perform this type of task,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Minor barrier,Major barrier,Moderate barrier,Moderate barrier,Not a barrier,Minor barrier,Difficult to say,1,1,0,0,1,0,0,0,0,Yes,
P086,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Bulgaria,Bulgaria,I work in an in-house marketing team,,More than 10 years,2–9 people,No,,,,,,,,,,,,,,,,,,,,,Very major barrier,Major barrier,Very major barrier,Major barrier,Moderate barrier,Very major barrier,Major barrier,0,0,0,0,0,0,0,1,0,"No, but I plan to",
P087,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Sweden,Sweden,I work at a marketing or advertising agency,,More than 10 years,250 people or more,Yes,Every day,1,1,0,0,0,,In a few tasks,I do not perform this type of task,I do not perform this type of task,Almost always,I do not perform this type of task,In some tasks,In some tasks,In a few tasks,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Major barrier,Minor barrier,Not a barrier,Major barrier,Difficult to say,Minor barrier,Minor barrier,1,1,1,0,1,0,0,0,0,"No, but I plan to",
P088,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,France,France,I work at a marketing or advertising agency,,More than 10 years,50–249 people,No,,,,,,,,,,,,,,,,,,,,,Very major barrier,Major barrier,Moderate barrier,Moderate barrier,Moderate barrier,Major barrier,Moderate barrier,0,0,0,0,0,0,0,1,0,"No, and I do not plan to",
P089,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Hungary,Hungary,Other,PR / communications,More than 10 years,Difficult to say / not applicable,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,In a few tasks,I do not perform this type of task,Almost always,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,Not a barrier,Moderate barrier,Minor barrier,0,0,1,1,0,1,0,0,0,"No, and I do not plan to",
P090,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Czech Republic,Czechia,I work in an in-house marketing team,,4–6 years,2–9 people,Yes,Every day,1,0,0,0,0,,In some tasks,I do not perform this type of task,I do not perform this type of task,Almost always,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Difficult to say,Strongly agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,1,1,1,0,0,0,0,0,0,"No, but I plan to",
P091,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Romania,Romania,I run my own business and manage its marketing,,More than 10 years,2–9 people,Yes,Several times a month,1,1,0,0,0,,I do not perform this type of task,Never,I do not perform this type of task,In most tasks,In a few tasks,I do not perform this type of task,In a few tasks,I do not perform this type of task,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Major barrier,Major barrier,Major barrier,Major barrier,Moderate barrier,Major barrier,Very major barrier,1,0,1,0,0,0,1,0,0,"No, and I do not plan to",
P092,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Finland,Finland,I work in an in-house marketing team,,More than 10 years,50–249 people,Yes,Every day,1,1,0,0,0,,In a few tasks,In some tasks,In some tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,Almost always,In most tasks,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Not a barrier,Major barrier,Minor barrier,Minor barrier,Difficult to say,Not a barrier,Difficult to say,0,1,0,0,1,0,0,0,0,Yes,
P093,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Germany,Germany,I work in an in-house marketing team,,More than 10 years,50–249 people,Yes,Every day,1,1,1,0,0,,In most tasks,Almost always,In some tasks,I do not perform this type of task,Almost always,In some tasks,I do not perform this type of task,Almost always,Agree,Agree,Difficult to say,Neither agree nor disagree,Neither agree nor disagree,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,Not a barrier,1,1,1,0,1,0,0,0,0,"No, and I do not plan to","More ideas in less time, especially when many versions of ad campaigns are needed. People paste client data into it without thinking. Everything has to be checked before it goes out"
P094,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Greece,Greece,I run my own business and manage its marketing,,More than 10 years,10–49 people,Yes,Several times a week,1,1,0,0,0,,Almost always,I do not perform this type of task,I do not perform this type of task,In most tasks,In most tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Moderate barrier,Minor barrier,Not a barrier,Minor barrier,Minor barrier,Not a barrier,Minor barrier,0,0,0,0,0,0,1,0,0,Yes,
P095,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Finland,Finland,I work in an in-house marketing team,,More than 10 years,2–9 people,No,,,,,,,,,,,,,,,,,,,,,Major barrier,Major barrier,Major barrier,Major barrier,Moderate barrier,Very major barrier,Major barrier,0,0,0,0,0,0,0,1,0,"No, and I do not plan to","I don't use AI, I prefer to write everything myself. Also the subscriptions keep getting more expensive."
P096,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Slovakia,Slovakia,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Several times a week,1,0,1,0,0,,In most tasks,In a few tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,In a few tasks,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Minor barrier,Minor barrier,Minor barrier,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,1,1,1,1,0,1,0,0,0,"No, but I plan to",
P097,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Denmark,Denmark,I run my own business and manage its marketing,,4–6 years,2–9 people,Yes,Every day,1,0,0,0,0,,Almost always,In some tasks,In a few tasks,Almost always,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Difficult to say,Strongly agree,Not a barrier,Not a barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Moderate barrier,1,1,0,0,0,0,0,0,0,"No, but I plan to","Faster first drafts for posts and ad copy, I stll rewrite most of it."
P098,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,France,France,I work in an in-house marketing team,,More than 10 years,250 people or more,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,Almost always,I do not perform this type of task,Almost always,In some tasks,I do not perform this type of task,In some tasks,In most tasks,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,1,1,1,1,1,1,0,0,0,Yes,
P099,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Bulgaria,Bulgaria,I work in an in-house marketing team,,7–10 years,50–249 people,Yes,Every day,1,1,0,0,0,,In a few tasks,In most tasks,In a few tasks,In most tasks,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Agree,Agree,Strongly agree,Agree,Strongly agree,Moderate barrier,Minor barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,1,0,0,0,1,0,0,0,0,Yes,"Faster first drafts for posts and ad copy, I still rewrite most of it."
P100,EN,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Ireland,Ireland,I work in an in-house marketing team,,More than 10 years,50–249 people,No,,,,,,,,,,,,,,,,,,,,,Moderate barrier,Very major barrier,Moderate barrier,Very major barrier,Minor barrier,Major barrier,Major barrier,0,0,0,0,0,0,0,1,0,"No, and I do not plan to","I don't use AI, no time to learn it yet. Also people paste client data into it without thinking."
P003,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I run my own business and manage its marketing,,4–6 years,2–9 people,Yes,Once a week,1,1,0,0,0,,I do not perform this type of task,In a few tasks,I do not perform this type of task,In most tasks,In a few tasks,In some tasks,In a few tasks,I do not perform this type of task,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Moderate barrier,Minor barrier,Minor barrier,Major barrier,Difficult to say,Minor barrier,Moderate barrier,1,0,0,0,0,0,0,0,0,"No, and I do not plan to",
P004,PL,2026-09-24T21:55:02+00:00,yes,ended_at_P1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P019,PL,2026-09-24T21:55:02+00:00,yes,ended_at_P2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P025,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I work as a freelancer,,More than 10 years,Difficult to say / not applicable,Yes,Every day,1,1,1,0,0,,In some tasks,In some tasks,In most tasks,Almost always,Almost always,In a few tasks,Almost always,In some tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not a barrier,Not a barrier,Minor barrier,Moderate barrier,Not a barrier,Not a barrier,Not a barrier,1,1,0,1,0,0,0,0,0,Yes,Oszczędność czasu przy raportach.
P027,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Austria,Austria,I run my own business and manage its marketing,,Less than 1 year,10–49 people,Yes,Every day,1,0,1,0,0,,I do not perform this type of task,In some tasks,I do not perform this type of task,Almost always,In a few tasks,In some tasks,I do not perform this type of task,In most tasks,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Not a barrier,Not a barrier,Moderate barrier,Not a barrier,Not a barrier,Minor barrier,Minor barrier,1,0,1,0,0,0,0,0,0,"No, but I plan to",
P031,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,Other,marketing obok głównej pracy,Less than 1 year,50–249 people,Yes,Every day,1,1,0,0,0,,I do not perform this type of task,I do not perform this type of task,In a few tasks,In most tasks,In most tasks,I do not perform this type of task,In some tasks,In some tasks,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Moderate barrier,Minor barrier,Difficult to say,Not a barrier,Not a barrier,Minor barrier,Not a barrier,1,0,0,1,0,1,0,0,0,"No, but I plan to","Szybsze pierwsze wersje przy odpowiedziach dla klientów, ale i tak dużo popprawiam."
P033,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I run my own business and manage its marketing,,1–3 years,50–249 people,Yes,Every day,1,0,0,0,0,,In some tasks,In most tasks,In most tasks,In most tasks,I do not perform this type of task,In a few tasks,In some tasks,I do not perform this type of task,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,Moderate barrier,0,0,0,0,0,0,1,0,0,"No, but I plan to","Największy problem to to, że aonamenty ciągle drożeją."
P040,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I work at a marketing or advertising agency,,Less than 1 year,10–49 people,Yes,Every day,1,1,0,0,0,,In some tasks,In a few tasks,In a few tasks,In most tasks,In some tasks,In a few tasks,In a few tasks,In most tasks,Agree,Agree,Agree,Disagree,Agree,Difficult to say,Moderate barrier,Moderate barrier,Moderate barrier,Minor barrier,Moderate barrier,Minor barrier,1,1,0,0,1,0,0,0,0,Yes,"OK, dopóki ktoś, kto zna markę, wszystko sprawdza i jesteśmy uczciwi wobec klientów."
P052,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Several times a week,1,0,0,1,0,tłumaczenie (DeepL),I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In some tasks,Strongly agree,Agree,Strongly agree,Agree,Agree,Minor barrier,Minor barrier,Moderate barrier,Moderate barrier,Minor barrier,Moderate barrier,Difficult to say,1,0,0,1,0,0,1,0,0,"No, and I do not plan to","OK, dopóki ktoś, kto zna markę, wszystko sprawdza i jesteśmy uczciwi wobec klientów."
P057,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I run my own business and manage its marketing,,More than 10 years,2–9 people,No,,,,,,,,,,,,,,,,,,,,,Moderate barrier,Major barrier,Moderate barrier,Minor barrier,Not a barrier,Major barrier,Moderate barrier,0,0,0,0,0,0,0,1,0,"No, but I plan to","Nie korzystam z AI, nie ufam temu przy pracy dla klientów. Poza tym ludzie wklejają dane klientów bez zastanowienia"
P062,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,Other,e-commerce,More than 10 years,2–9 people,Yes,Every day,1,1,1,1,0,tłumaczenie (DeepL),I do not perform this type of task,In a few tasks,In a few tasks,In most tasks,I do not perform this type of task,In some tasks,In most tasks,In most tasks,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Minor barrier,Minor barrier,Minor barrier,Moderate barrier,Not a barrier,Moderate barrier,Not a barrier,0,0,1,0,0,0,0,0,0,"No, but I plan to",
P063,PL,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Polska,Poland,I run my own business and manage its marketing,,More than 10 years,Difficult to say / not applicable,Yes,Every day,1,1,1,1,0,,In most tasks,In most tasks,I do not perform this type of task,Almost always,I do not perform this type of task,In most tasks,I do not perform this type of task,In most tasks,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Not a barrier,Moderate barrier,Minor barrier,Minor barrier,Difficult to say,Minor barrier,Minor barrier,1,1,0,0,0,0,1,0,0,"No, and I do not plan to","Szybsze piersze wersje przy raportach, ale i tak dużo poprawiam."
P085,PL,2026-09-24T21:55:02+00:00,yes,ended_at_P2,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P007,RU,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Латвия,Latvia,I work as a freelancer,,More than 10 years,I work independently / one-person business,Yes,Several times a week,1,0,0,0,0,,I do not perform this type of task,In some tasks,I do not perform this type of task,In most tasks,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,In some tasks,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Moderate barrier,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Minor barrier,Difficult to say,1,0,0,1,0,1,0,0,0,"No, and I do not plan to",
P012,RU,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Латвия,Latvia,I work as a freelancer,,7–10 years,I work independently / one-person business,Yes,Every day,1,1,0,0,0,,In most tasks,In some tasks,In some tasks,Almost always,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,I do not perform this type of task,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Moderate barrier,Not a barrier,Minor barrier,Moderate barrier,Difficult to say,Not a barrier,Not a barrier,1,0,0,1,0,0,0,0,0,Yes,
P079,RU,2026-09-24T21:55:02+00:00,yes,complete,Yes,Yes,Эстония,Estonia,I work in an in-house marketing team,,More than 10 years,50–249 people,Yes,Every day,1,0,1,0,0,,In some tasks,I do not perform this type of task,In most tasks,Almost always,In some tasks,In some tasks,In most tasks,In a few tasks,Agree,Agree,Strongly agree,Strongly agree,Agree,Moderate barrier,Not a barrier,Moderate barrier,Moderate barrier,Not a barrier,Moderate barrier,Not a barrier,1,1,0,1,1,0,0,0,0,"No, but I plan to",Экономия времени на текстах для постов и рекламы.
